"codigo";"lapso";"cod_mat";"cod_comp"
"31392";"2014-1";"T2DB05";"3803"
"31392";"2014-1";"T2EB05";"3804"
"31392";"2014-1";"T2GB05";"3813"
"31411";"2014-1";"T3AB01";"3805"
"31411";"2014-1";"T3BB01";"3806"
"31411";"2014-1";"T3CB01";"3807"
"31411";"2014-1";"T3EB01";"3809"
"31411";"2014-1";"T3GB01";"3811"
"31411";"2014-1";"T3HB01";"3814"
"31411";"2014-1";"T3IB01";"3935"
"31411";"2014-1";"T3DB01";"3937"
"31440";"2014-1";"T3AB01";"3805"
"31440";"2014-1";"T3BB01";"3806"
"31440";"2014-1";"T3CB11";"3807"
"31440";"2014-1";"T3EB11";"3809"
"31440";"2014-1";"T3GB01";"3811"
"31440";"2014-1";"T3HB11";"3814"
"31440";"2014-1";"T3IB11";"3935"
"31440";"2014-1";"T3DB11";"3937"
"31446";"2014-1";"T2AB11";"3800"
"31446";"2014-1";"T2BB11";"3801"
"31446";"2014-1";"T2CB11";"3802"
"31446";"2014-1";"T2DB11";"3803"
"31446";"2014-1";"T2EB11";"3804"
"31446";"2014-1";"T2FB11";"3812"
"31446";"2014-1";"T2GB11";"3813"
"31463";"2014-1";"T3AB01";"3805"
"31463";"2014-1";"T3BB01";"3806"
"31463";"2014-1";"T3CB01";"3807"
"31463";"2014-1";"T3EB01";"3809"
"31463";"2014-1";"T3GB01";"3811"
"31463";"2014-1";"T3HB01";"3814"
"31463";"2014-1";"T3IB01";"3935"
"31463";"2014-1";"T3DB01";"3937"
"31466";"2014-1";"T2AB12";"3800"
"31466";"2014-1";"T2BB12";"3801"
"31466";"2014-1";"T2CB12";"3802"
"31466";"2014-1";"T2DB12";"3803"
"31466";"2014-1";"T2EB12";"3804"
"31466";"2014-1";"T2FB12";"3812"
"31466";"2014-1";"T2GB12";"3813"
"31487";"2014-1";"T3AB01";"3805"
"31487";"2014-1";"T3BB01";"3806"
"31487";"2014-1";"T3CB01";"3807"
"31487";"2014-1";"T3EB01";"3809"
"31487";"2014-1";"T3GB01";"3811"
"31487";"2014-1";"T3HB01";"3814"
"31487";"2014-1";"T3IB01";"3935"
"31487";"2014-1";"T3DB01";"3937"
"31502";"2014-1";"T3AB02";"3805"
"31502";"2014-1";"T3BB02";"3806"
"31502";"2014-1";"T3CB02";"3807"
"31502";"2014-1";"T3EB02";"3809"
"31502";"2014-1";"T3GB02";"3811"
"31502";"2014-1";"T3HB02";"3814"
"31502";"2014-1";"T3IB02";"3935"
"31502";"2014-1";"T3DB02";"3937"
"31508";"2014-1";"T3AB01";"3805"
"31508";"2014-1";"T3BB01";"3806"
"31508";"2014-1";"T3CB01";"3807"
"31508";"2014-1";"T3EB01";"3809"
"31508";"2014-1";"T3GB01";"3811"
"31508";"2014-1";"T3HB01";"3814"
"31508";"2014-1";"T3IB01";"3935"
"31508";"2014-1";"T3DB01";"3937"
"31522";"2014-1";"T2AB12";"3800"
"31522";"2014-1";"T3AB01";"3805"
"31522";"2014-1";"T3BB01";"3806"
"31522";"2014-1";"T3CB01";"3807"
"31522";"2014-1";"T3EB01";"3809"
"31522";"2014-1";"T3GB01";"3811"
"31522";"2014-1";"T3HB01";"3814"
"31522";"2014-1";"T3IB01";"3935"
"31522";"2014-1";"T3DB01";"3937"
"31524";"2014-1";"T3AB01";"3805"
"31524";"2014-1";"T3BB01";"3806"
"31524";"2014-1";"T3CB01";"3807"
"31524";"2014-1";"T3EB01";"3809"
"31524";"2014-1";"T3GB01";"3811"
"31524";"2014-1";"T3HB01";"3814"
"31524";"2014-1";"T3IB01";"3935"
"31524";"2014-1";"T3DB01";"3937"
"31527";"2014-1";"T2AB12";"3800"
"31527";"2014-1";"T2DB20";"3803"
"31527";"2014-1";"T3AB01";"3805"
"31527";"2014-1";"T3BB01";"3806"
"31527";"2014-1";"T3CB01";"3807"
"31527";"2014-1";"T3EB01";"3809"
"31527";"2014-1";"T3GB01";"3811"
"31527";"2014-1";"T3HB01";"3814"
"31527";"2014-1";"T3IB01";"3935"
"31527";"2014-1";"T3DB01";"3937"
"31531";"2014-1";"T3AB01";"3805"
"31531";"2014-1";"T3BB01";"3806"
"31531";"2014-1";"T3CB01";"3807"
"31531";"2014-1";"T3EB01";"3809"
"31531";"2014-1";"T3GB01";"3811"
"31531";"2014-1";"T3HB01";"3814"
"31531";"2014-1";"T3IB01";"3935"
"31531";"2014-1";"T3DB01";"3937"
"31545";"2014-1";"T2AB16";"3800"
"31545";"2014-1";"T2BB16";"3801"
"31545";"2014-1";"T2DB16";"3803"
"31545";"2014-1";"T2GB16";"3813"
"31553";"2014-1";"T2DB20";"3803"
"31553";"2014-1";"T3AB01";"3805"
"31553";"2014-1";"T3BB01";"3806"
"31553";"2014-1";"T3CB01";"3807"
"31553";"2014-1";"T3EB01";"3809"
"31553";"2014-1";"T3GB01";"3811"
"31553";"2014-1";"T3HB01";"3814"
"31553";"2014-1";"T3IB01";"3935"
"31553";"2014-1";"T3DB01";"3937"
"31561";"2014-1";"T3AB02";"3805"
"31561";"2014-1";"T3BB02";"3806"
"31561";"2014-1";"T3CB02";"3807"
"31561";"2014-1";"T3EB02";"3809"
"31561";"2014-1";"T3GB02";"3811"
"31561";"2014-1";"T3HB02";"3814"
"31561";"2014-1";"T3IB02";"3935"
"31561";"2014-1";"T3DB02";"3937"
"31577";"2014-1";"T2AB16";"3800"
"31577";"2014-1";"T2BB16";"3801"
"31577";"2014-1";"T2DB20";"3803"
"31577";"2014-1";"T2GB16";"3813"
"31579";"2014-1";"T3AB01";"3805"
"31579";"2014-1";"T3BB01";"3806"
"31579";"2014-1";"T3CB01";"3807"
"31579";"2014-1";"T3EB01";"3809"
"31579";"2014-1";"T3GB01";"3811"
"31579";"2014-1";"T3HB01";"3814"
"31579";"2014-1";"T3IB01";"3935"
"31579";"2014-1";"T3DB01";"3937"
"31594";"2014-1";"T3AB01";"3805"
"31594";"2014-1";"T3BB01";"3806"
"31594";"2014-1";"T3CB11";"3807"
"31594";"2014-1";"T3EB11";"3809"
"31594";"2014-1";"T3GB01";"3811"
"31594";"2014-1";"T3HB11";"3814"
"31594";"2014-1";"T3IB11";"3935"
"31594";"2014-1";"T3DB11";"3937"
"31612";"2014-1";"T3AB01";"3805"
"31612";"2014-1";"T3BB01";"3806"
"31612";"2014-1";"T3CB01";"3807"
"31612";"2014-1";"T3EB01";"3809"
"31612";"2014-1";"T3GB01";"3811"
"31612";"2014-1";"T3HB01";"3814"
"31612";"2014-1";"T3IB01";"3935"
"31612";"2014-1";"T3DB01";"3937"
"31618";"2014-1";"T2AB11";"3800"
"31618";"2014-1";"T2BB11";"3801"
"31618";"2014-1";"T2CB11";"3802"
"31618";"2014-1";"T2DB11";"3803"
"31618";"2014-1";"T2EB11";"3804"
"31618";"2014-1";"T2FB11";"3812"
"31618";"2014-1";"T2GB11";"3813"
"31622";"2014-1";"T2AB01";"3800"
"31622";"2014-1";"T2BB01";"3801"
"31622";"2014-1";"T2CB01";"3802"
"31622";"2014-1";"T2DB01";"3803"
"31622";"2014-1";"T2EB01";"3804"
"31622";"2014-1";"T2GB01";"3813"
"31624";"2014-1";"T2AB16";"3800"
"31624";"2014-1";"T2BB16";"3801"
"31624";"2014-1";"T2CB16";"3802"
"31624";"2014-1";"T2DB16";"3803"
"31624";"2014-1";"T2EB16";"3804"
"31624";"2014-1";"T2FB16";"3812"
"31624";"2014-1";"T2GB16";"3813"
"31634";"2014-1";"T2AB12";"3800"
"31634";"2014-1";"T2DB20";"3803"
"31634";"2014-1";"T3AB01";"3805"
"31634";"2014-1";"T3BB01";"3806"
"31634";"2014-1";"T3CB01";"3807"
"31634";"2014-1";"T3EB01";"3809"
"31634";"2014-1";"T3GB01";"3811"
"31634";"2014-1";"T3HB01";"3814"
"31634";"2014-1";"T3IB01";"3935"
"31634";"2014-1";"T3DB01";"3937"
"31649";"2014-1";"T2AB16";"3800"
"31649";"2014-1";"T2DB16";"3803"
"31649";"2014-1";"T2EB16";"3804"
"31653";"2014-1";"T3AB01";"3805"
"31653";"2014-1";"T3BB01";"3806"
"31653";"2014-1";"T3CB01";"3807"
