"codigo";"lapso";"cod_mat";"cod_comp"
"43982";"2014-1";"I2HB01";"6056"
"43983";"2014-1";"I2AB01";"6049"
"43983";"2014-1";"I2BB01";"6050"
"43983";"2014-1";"I2DB01";"6052"
"43983";"2014-1";"I2EB01";"6053"
"43983";"2014-1";"I2FB01";"6054"
"43983";"2014-1";"I2GB01";"6055"
"43983";"2014-1";"I2HB01";"6056"
"43984";"2014-1";"I2AB01";"6049"
"43984";"2014-1";"I2BB01";"6050"
"43984";"2014-1";"I2DB01";"6052"
"43984";"2014-1";"I2EB01";"6053"
"43984";"2014-1";"I2FB01";"6054"
"43984";"2014-1";"I2GB01";"6055"
"43984";"2014-1";"I2HB01";"6056"
"43985";"2014-1";"I2AB01";"6049"
"43985";"2014-1";"I2BB01";"6050"
"43985";"2014-1";"I2DB01";"6052"
"43985";"2014-1";"I2EB01";"6053"
"43985";"2014-1";"I2FB01";"6054"
"43985";"2014-1";"I2GB01";"6055"
"43985";"2014-1";"I2HB01";"6056"
"43986";"2014-1";"I2AB01";"6049"
"43986";"2014-1";"I2BB01";"6050"
"43986";"2014-1";"I2DB01";"6052"
"43986";"2014-1";"I2EB01";"6053"
"43986";"2014-1";"I2FB01";"6054"
"43986";"2014-1";"I2GB01";"6055"
"43986";"2014-1";"I2HB01";"6056"
"43987";"2014-1";"I2AB01";"6049"
"43987";"2014-1";"I2BB01";"6050"
"43987";"2014-1";"I2DB01";"6052"
"43987";"2014-1";"I2EB01";"6053"
"43987";"2014-1";"I2FB01";"6054"
"43987";"2014-1";"I2GB01";"6055"
"43987";"2014-1";"I2HB01";"6056"
"43988";"2014-1";"I2AB01";"6049"
"43988";"2014-1";"I2BB01";"6050"
"43988";"2014-1";"I2DB01";"6052"
"43988";"2014-1";"I2EB01";"6053"
"43988";"2014-1";"I2FB01";"6054"
"43988";"2014-1";"I2GB01";"6055"
"43988";"2014-1";"I2HB01";"6056"
"44638";"2014-1";"I2AB81";"6049"
"44638";"2014-1";"I2BB81";"6050"
"44638";"2014-1";"I2CB81";"6051"
"44638";"2014-1";"I2DB81";"6052"
"44638";"2014-1";"I2EB81";"6053"
"44638";"2014-1";"I2FB81";"6054"
"44638";"2014-1";"I2GB81";"6055"
"44638";"2014-1";"I2HB81";"6056"
"44639";"2014-1";"I2AB81";"6049"
"44639";"2014-1";"I2BB81";"6050"
"44639";"2014-1";"I2CB81";"6051"
"44639";"2014-1";"I2DB81";"6052"
"44639";"2014-1";"I2EB81";"6053"
"44639";"2014-1";"I2FB81";"6054"
"44639";"2014-1";"I2GB81";"6055"
"44639";"2014-1";"I2HB81";"6056"
"44640";"2014-1";"I2AB81";"6049"
